#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
3.0,4,225.866018
5.0,5,226.316261
5.0,5,226.661079
5.0,5,227.061402
5.0,5,227.347772
5.0,5,227.594713
5.0,5,227.894357
5.0,5,228.179032
-3.0,2,228.404826
5.0,5,228.718265
3.0,4,229.014693
-2.0,3,229.18412
-2.0,3,229.423802
4.0,4,229.54345
5.0,5,229.761761
5.0,5,230.024408
-1.0,4,230.289764
-3.0,2,230.576338
-2.0,3,230.886542
5.0,5,231.448753
4.0,4,231.793172
-4.0,1,231.916337
-2.0,3,232.096494
5.0,5,232.28728
2.0,3,232.442564
3.0,4,232.771726
4.0,4,233.219834
-2.0,3,233.471156
3.0,4,233.76098
5.0,5,234.157831
4.0,4,234.459562
4.0,4,234.719553
4.0,4,235.003536
5.0,5,235.34004
5.0,5,235.806443
5.0,5,236.136536
5.0,5,236.3531
5.0,5,236.79075
5.0,5,237.00643
-2.0,3,237.193646
5.0,5,237.437831
5.0,5,237.786562
5.0,5,238.036832
5.0,5,238.275129
5.0,5,238.64209
4.0,4,238.853473
5.0,5,239.251119
-2.0,3,239.412159
5.0,5,239.63863
4.0,4,239.91439
-2.0,3,240.110956
4.0,4,240.368155
5.0,5,240.738008
-2.0,3,240.973062
-2.468761,3,241.212374
-2.0,3,241.432289
5.0,5,241.701753
5.0,5,241.999558
-2.0,3,242.125797
-3.0,2,242.34978
5.0,5,242.554338
-2.0,3,242.680062
5.0,5,242.983338
2.0,3,243.204835
4.0,4,243.479075
-2.0,3,243.7049
2.0,3,243.904761
-1.0,4,244.288043
5.0,5,244.546172
-2.0,3,244.737442
-2.0,3,244.989387
-3.0,2,245.106413
-5.0,1,245.25598
4.0,4,245.558225
5.0,5,245.877501
-2.0,3,246.054276
-2.742999,3,246.301987
5.0,5,246.619912
4.0,4,246.910026
5.0,5,247.188698
-2.0,3,247.480274
5.0,5,247.871793
5.0,5,248.246141
5.0,5,248.641039
-1.0,4,248.888493
-3.0,2,249.108634
5.0,5,249.606277
3.0,4,249.844843
5.0,5,250.120445
-2.468761,3,250.316074
-2.0,3,250.579191
5.0,5,250.865095
-2.0,3,251.05432
-3.0,2,251.244704
5.0,5,251.530531
4.0,4,251.724147
-2.0,3,251.876754
5.0,5,252.228745
-2.0,3,252.517815
-2.0,3,252.735091
-0.695039,5,253.050267
-2.0,3,253.213181
5.0,5,253.440961
-4.0,1,253.603592
5.0,5,253.970113
-3.0,2,254.155174
2.0,3,254.476871
4.0,4,254.719421
-2.0,3,254.957123
-3.0,2,255.234468
5.0,5,255.617526
5.0,5,255.909445
5.0,5,256.346546
5.0,5,256.628004
